"Start.date","SI"
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-04,1
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,0
2011-10-19,1
